Domaine,Sujet,Détails,Question 1,Réponse 1,Explication 1,Question 2,Réponse 2,Explication 2,Question 3,Réponse 3,Explication 3,Question 4,Réponse 4,Explication 4,Question 5,Réponse 5,Explication 5,Question 6,Réponse 6,Explication 6,Question 7,Réponse 7,Explication 7,Question 8,Réponse 8,Explication 8,Question 9,Réponse 9,Explication 9,Question 10,Réponse 10,Explication 10
Infrastructures Réseaux,Réseaux sans fil,Administration et sécurité du Wi-Fi.,Que signifie l'acronyme Wi-Fi ?,Wireless Fidelity (bien que ce soit une marque commerciale à l'origine).,C'est un ensemble de normes (IEEE 802.11) permettant la communication sans fil par ondes radio entre équipements informatiques.,Quel est le rôle d'un point d'accès (AP) Wi-Fi ?,Faire le pont entre le réseau filaire et les appareils sans fil.,Le point d'accès diffuse le signal radio et gère les connexions des clients sans fil pour les intégrer au réseau local.,Qu'est-ce qu'un SSID dans un réseau Wi-Fi ?,Service Set Identifier c'est le nom public diffusé par le réseau Wi-Fi.,C'est ce nom que les utilisateurs voient sur leur smartphone ou ordinateur lorsqu'ils cherchent un réseau auquel se connecter.,Quelle norme de sécurité Wi-Fi est actuellement considérée comme obsolète et dangereuse ?,La norme WEP (Wired Equivalent Privacy).,Ses clés de chiffrement sont trop faibles et peuvent être cassées en quelques minutes par un attaquant équipé d'outils basiques.,Quelle est la différence entre les bandes de fréquences 2.4 GHz et 5 GHz ?,Le 2.4 GHz porte plus loin mais est plus lent tandis que le 5 GHz est plus rapide mais traverse mal les obstacles.,Le 2.4 GHz est aussi beaucoup plus saturé car utilisé par le Bluetooth les micro-ondes et beaucoup d'anciens appareils.,Quelle est la différence entre WPA2-Personal et WPA2-Enterprise ?,Personal utilise une clé partagée (PSK) pour tous alors qu'Enterprise demande une authentification individuelle via un serveur RADIUS.,En mode Enterprise chaque employé utilise ses propres identifiants (comme ceux d'Active Directory) ce qui permet de bloquer un seul accès sans changer le mot de passe de tout le monde.,Qu'est-ce qu'un portail captif ?,Une page web qui intercepte la navigation de l'utilisateur pour forcer une authentification ou l'acceptation de conditions avant d'accéder à Internet.,C'est très utilisé dans les hôtels les aéroports ou pour les réseaux Wi-Fi invités en entreprise afin de tracer les connexions et respecter la loi.,"Que signifie le terme ""Rogue AP"" (Point d'accès pirate) ?",C'est un point d'accès non autorisé branché sur le réseau de l'entreprise.,Un employé ou un attaquant peut installer un Rogue AP pour contourner la sécurité physique et offrir une porte d'entrée discrète sur le réseau local.,À quoi sert un contrôleur Wi-Fi (WLC) dans une infrastructure d'entreprise ?,À centraliser la configuration la sécurité et la gestion de tous les points d'accès du réseau.,Au lieu de configurer chaque borne une par une le contrôleur pousse la configuration globalement et gère l'itinérance (roaming) des utilisateurs entre les bornes.,Qu'est-ce que le filtrage par adresse MAC sur un réseau Wi-Fi et pourquoi est-il insuffisant pour la sécurité ?,C'est une liste blanche d'appareils autorisés mais elle est facilement contournable car une adresse MAC peut être usurpée (spoofing).,Un attaquant n'a qu'à écouter le trafic sans fil capturer l'adresse MAC d'un client légitime et l'appliquer à sa propre carte réseau pour contourner le filtre.
Infrastructures Réseaux,Mobilité,Gestion des accès périphériques mobiles (BYOD).,Que signifie l'acronyme BYOD ?,Bring Your Own Device (Apportez votre propre appareil).,C'est une pratique permettant aux employes d'utiliser leurs equipements personnels (smartphones tablettes PC) pour acceder aux donnees et applications de l'entreprise.,Quel est le principal risque de securite lie au BYOD ?,La perte de controle sur les donnees de l'entreprise stockees sur l'appareil personnel.,Si l'appareil est perdu vole ou infecte par un malware personnel les donnees professionnelles qu'il contient sont directement menacees.,Qu'est-ce qu'une solution MDM ?,Mobile Device Management (Gestion des terminaux mobiles).,C'est un logiciel qui permet aux administrateurs de gerer securiser et surveiller les smartphones et tablettes utilises dans l'entreprise.,Que permet de faire la fonctionnalite d'effacement a distance (Remote Wipe) ?,De supprimer toutes les donnees professionnelles d'un appareil mobile a distance en cas de perte ou de vol.,C'est une fonction essentielle du MDM pour garantir que les informations sensibles ne tombent pas entre de mauvaises mains.,Qu'est-ce que le MAM (Mobile Application Management) ?,La gestion des applications mobiles.,Contrairement au MDM qui gere l'appareil entier le MAM se concentre uniquement sur le controle et la securisation des applications professionnelles installees sur l'appareil.,Comment fonctionne la conteneurisation sur un appareil mobile dans un contexte BYOD ?,Elle cree un espace isole et chiffre (un conteneur) sur l'appareil personnel dedie uniquement aux applications et donnees professionnelles.,Cela permet de separer strictement la vie privee de la vie professionnelle. L'entreprise peut effacer le conteneur pro sans toucher aux photos ou applications personnelles de l'utilisateur.,Quelle est la difference entre le BYOD et le COPE ?,COPE signifie Corporate Owned Personally Enabled (Appareil fourni par l'entreprise avec usage personnel autorise).,Dans le modele COPE l'entreprise achete et garde le controle total de l'appareil tout en permettant a l'employe de s'en servir a des fins personnelles ce qui simplifie la gestion de la securite.,Quel role joue un portail d'entreprise dans une architecture de mobilite ?,C'est un magasin d'applications prive ou les employes peuvent telecharger les applications metiers approuvees par l'entreprise.,Cela evite que les utilisateurs ne telechargent des applications tierces non securisees pour travailler et facilite le deploiement des mises a jour.,Comment le NAC (Network Access Control) s'integre-t-il avec les politiques de mobilite ?,Le NAC verifie la conformite de l'appareil mobile avant de l'autoriser a se connecter au reseau d'entreprise.,Par exemple si le smartphone a ete roote ou jailbreake le NAC peut lui refuser l'acces au reseau Wi-Fi interne pour des raisons de securite.,Quels sont les protocoles souvent utilises pour securiser la connexion d'un appareil mobile au reseau interne de l'entreprise depuis l'exterieur ?,Les protocoles VPN (comme IPsec ou SSL/TLS) ou les proxys inverses (Reverse Proxy).,Le VPN mobile (souvent appele Per-App VPN) permet de chiffrer uniquement le trafic des applications professionnelles vers le reseau de l'entreprise sans affecter le trafic personnel de l'utilisateur.
Infrastructures Réseaux,Interconnexion,"VPN, réseaux convergents (voix, données, images), solutions opérateurs.",Qu'est-ce qu'un VPN (Virtual Private Network) ?,Un reseau prive virtuel qui cree une connexion securisee vers un réseau interne comme un LAN d'entreprise.,Le VPN chiffre les donnees echangees ce qui permet de relier deux sites distants de maniere sécurisée.,Quel est le but principal d'un reseau convergent ?,Transporter simultanement la voix les donnees et la video sur une meme infrastructure IP.,Cela permet de reduire les couts de cablage et de maintenance en evitant d'avoir un reseau distinct pour la telephonie et un autre pour l'informatique.,Que signifie l'acronyme VoIP dans les reseaux convergents ?,Voice over Internet Protocol (Voix sur IP).,C'est la technologie qui permet de transmettre des communications vocales via des paquets de donnees sur un reseau IP au lieu du reseau telephonique classique.,Qu'est-ce qu'une liaison louee (ou ligne specialisee) ?,Une connexion physique ou logique privee et dediee fournie par un operateur entre deux sites.,Elle offre une bande passante garantie et une grande securite mais coute generalement beaucoup plus cher qu'une simple connexion Internet securisee par VPN.,Quel equipement est souvent necessaire a la frontiere du reseau d'entreprise pour etablir un tunnel VPN ?,Un routeur ou un pare-feu (firewall) compatible VPN.,Ces equipements disposent des capacites de chiffrement et de routage necessaires pour encapsuler et desencapsuler le trafic se dirigeant vers le site distant.,Quelle est la difference principale entre un VPN de site a site et un VPN d'acces distant ?,Le VPN de site a site interconnecte deux reseaux entiers de maniere transparente tandis que le VPN d'acces distant connecte un utilisateur individuel au reseau d'entreprise.,Le site a site est configure sur les routeurs et est permanent alors que l'acces distant necessite souvent un client logiciel sur le PC de l'utilisateur nomade.,Quel protocole standard est tres largement utilise pour securiser les VPN de site a site ?,Le protocole IPsec (Internet Protocol Security).,IPsec agit au niveau de la couche reseau (couche 3) pour authentifier et chiffrer chaque paquet de donnees IP dans le tunnel.,Que signifie la QoS (Qualite de Service) et pourquoi est-elle cruciale sur un reseau convergent ?,C'est un mecanisme permettant de prioriser certains types de trafic comme la voix ou la video par rapport aux donnees classiques.,La voix sur IP est tres sensible a la latence et a la perte de paquets. La QoS garantit que les appels telephoniques ne seront pas coupes si quelqu'un telecharge un gros fichier.,Qu'est-ce que la technologie MPLS proposee par les operateurs telecoms ?,Multiprotocol Label Switching est une technique d'acheminement des donnees basee sur des etiquettes plutot que sur des adresses IP longues.,Le MPLS permet aux operateurs de creer des VPN tres performants et de garantir des niveaux de service (SLA) stricts entre les differents sites d'une entreprise.,Dans le protocole IPsec a quoi servent respectivement les phases IKE Phase 1 et IKE Phase 2 ?,La phase 1 etablit un canal de gestion securise et authentifie tandis que la phase 2 negocie les parametres de chiffrement des donnees elles-memes.,Une fois la phase 1 reussie les deux extremites l'utilisent pour negocier les regles de securite (SA) de la phase 2 qui formeront le tunnel IPsec reel ou transiteront les donnees.
Infrastructures Réseaux,Adressage et Métrologie,"Plan d'adressage, Qualité de Service (QoS), analyse Netflow.",Qu'est-ce qu'un masque de sous-réseau ?,Il permet de distinguer la partie réseau de la partie hôte dans une adresse IP.,Le masque définit la taille du réseau et permet de savoir si une adresse IP de destination se trouve sur le même réseau local ou sur un réseau distant.,À quoi sert le protocole DHCP dans le plan d'adressage ?,Il distribue automatiquement des adresses IP aux clients réseau.,Cela évite de configurer manuellement chaque poste ce qui réduit considérablement les erreurs de saisie et les conflits d'adresses.,Que signifie l'acronyme QoS (Qualité de Service) ?,C'est un ensemble de techniques permettant de prioriser certains types de trafic réseau.,La QoS est indispensable pour garantir que des flux sensibles comme la voix sur IP ou la vidéo ne soient pas ralentis par des téléchargements de fichiers.,Quelle est la différence entre IPv4 et IPv6 concernant l'espace d'adressage ?,IPv4 utilise des adresses sur 32 bits tandis qu'IPv6 utilise des adresses sur 128 bits.,L'espace IPv4 étant saturé IPv6 a été créé pour offrir une quantité quasi infinie d'adresses pour les décennies à venir.,Qu'est-ce que l'adresse de diffusion (broadcast) dans un sous-réseau ?,C'est la dernière adresse du sous-réseau utilisée pour envoyer un message à toutes les machines de ce réseau.,Un routeur ne transmet généralement pas les paquets de broadcast pour éviter de saturer les réseaux adjacents.,En quoi consiste le processus de subnetting (découpage en sous-réseaux) ?,Il s'agit de diviser un grand réseau IP en plusieurs réseaux logiques plus petits.,Cela permet de mieux organiser l'adressage de réduire la taille des domaines de diffusion et d'améliorer la sécurité en isolant les différents services.,Qu'est-ce que NetFlow et quel est son but principal ?,C'est un protocole de surveillance réseau développé par Cisco pour collecter des métadonnées sur les flux IP.,NetFlow n'analyse pas le contenu des paquets mais fournit des statistiques utiles pour comprendre qui communique avec qui et détecter d'éventuelles anomalies de trafic.,Comment la QoS identifie-t-elle les paquets à prioriser au niveau de la couche 3 ?,Elle utilise le champ DSCP (Differentiated Services Code Point) situé dans l'en-tête IP.,Les routeurs lisent la valeur DSCP pour classer le paquet et le placer dans la file d'attente appropriée selon la politique de priorité définie.,Qu'est-ce que la notation CIDR (Classless Inter-Domain Routing) ?,C'est une méthode de notation abrégée du masque de sous-réseau en ajoutant un slash suivi du nombre de bits à 1.,Par exemple l'adresse 192.168.1.0/24 correspond à l'adresse réseau 192.168.1.0 avec le masque 255.255.255.0.,Dans l'analyse métrologique quelle est la différence entre la bande passante et le débit réel (throughput) ?,La bande passante est la capacité théorique maximale du lien alors que le débit réel est la vitesse effective mesurée.,Le débit réel est toujours inférieur à la bande passante à cause des surcharges de protocole des temps de latence et d'éventuelles congestions sur le réseau.
Cybersécurité : Gouvernance,Cadres de référence,"Rôles de l'ANSSI, CNIL, CESIN, CLUSIF, MITRE, NIST, CIS.",Que signifie l'acronyme ANSSI en France ?,Agence Nationale de la Sécurité des Systèmes d'Information.,C'est l'autorité nationale en matière de cybersécurité chargée d'accompagner et de sécuriser le développement du numérique en France.,Quel est le rôle principal de la CNIL ?,Protéger les données personnelles et accompagner l'innovation en préservant les libertés individuelles.,La Commission Nationale de l'Informatique et des Libertés veille au respect du RGPD et peut sanctionner les entreprises en cas de manquement.,Qu'est-ce que le NIST aux États-Unis ?,Le National Institute of Standards and Technology est une agence qui définit des standards et des cadres de cybersécurité très utilisés mondialement.,Le framework de cybersécurité du NIST (CSF) est une référence mondiale basée sur cinq piliers : Identifier Protéger Détecter Répondre et Récupérer.,À quoi sert le référentiel MITRE ATT&CK ?,C'est une base de connaissances mondiale répertoriant les tactiques et techniques utilisées par les cyberattaquants.,Il permet aux équipes de sécurité de mieux comprendre le comportement des pirates et de tester l'efficacité de leurs propres défenses.,Que sont les CIS Controls (Center for Internet Security) ?,Un ensemble de bonnes pratiques de sécurité prioritaires conçues pour protéger les organisations contre les cybermenaces les plus courantes.,Ces contrôles sont souvent utilisés comme point de départ pour sécuriser un système d'information de manière pragmatique et efficace.,Quelle est la différence entre le CLUSIF et le CESIN en France ?,Le CLUSIF rassemble des offreurs de solutions et des utilisateurs tandis que le CESIN est réservé aux directeurs et responsables de la sécurité de l'information (RSSI).,Les deux sont des associations professionnelles françaises majeures mais le CESIN permet des échanges entre pairs (entreprises utilisatrices) sans démarche commerciale.,Que signifie le sigle OIV dans le cadre réglementaire de l'ANSSI ?,Opérateur d'Importance Vitale.,Ce sont des organisations publiques ou privées dont le fonctionnement est indispensable à la survie de la Nation et qui sont soumises à des règles de sécurité informatique très strictes.,Quel référentiel de l'ANSSI est spécifique aux prestataires d'audit de sécurité ?,Le référentiel PASSI (Prestataires d'Audit de la Sécurité des Systèmes d'Information).,L'ANSSI qualifie ces prestataires pour garantir la qualité et la confidentialité des audits de sécurité réalisés auprès des entreprises et des administrations.,Dans le framework NIST CSF à quelle fonction correspond la création de sauvegardes fiables ?,La fonction Récupérer (Recover).,Cette fonction regroupe les activités nécessaires pour restaurer les capacités ou les services détériorés suite à un incident de cybersécurité.,Pourquoi utiliser les CIS Benchmarks en complément des CIS Controls ?,Les Benchmarks fournissent des configurations techniques précises pour durcir des systèmes spécifiques alors que les Controls donnent des directives générales.,Par exemple un CIS Benchmark expliquera exactement quelles clés de registre modifier sur un Windows Server pour le sécuriser selon les bonnes pratiques.
Cybersécurité : Gouvernance,Analyse de risques,"Caractérisation des menaces/vulnérabilités, méthodes EBIOS, MEHARI, norme ISO 27005.",Qu'est-ce qu'une vulnérabilité en cybersécurité ?,Une faille ou une faiblesse dans un système d'information.,Elle peut être exploitée par une menace pour causer des dommages au système ou aux données.,Qu'est-ce qu'une menace en sécurité de l'information ?,Un événement potentiel capable de causer un incident de sécurité.,Cela peut être un pirate informatique un malware ou même une catastrophe naturelle comme un incendie.,Quel est le but principal d'une analyse de risques ?,Identifier évaluer et traiter les risques pesant sur le système d'information.,Cela permet de prioriser les investissements en sécurité là où les risques sont les plus critiques pour l'entreprise.,Que signifie l'acronyme de la méthode EBIOS ?,Expression des Besoins et Identification des Objectifs de Sécurité.,C'est une méthode d'analyse de risques développée par l'ANSSI très utilisée en France pour cartographier et traiter les risques cyber.,Quel est le rôle de la norme ISO 27005 ?,Elle fournit des lignes directrices et un cadre pour la gestion des risques liés à la sécurité de l'information.,Elle vient en appui de la norme ISO 27001 pour aider les entreprises à mettre en place un processus continu et structuré de gestion des risques.,Quelle est la différence entre un risque brut et un risque résiduel ?,Le risque brut est le risque initial sans protection tandis que le risque résiduel est celui qui reste après l'application de mesures de sécurité.,L'objectif de la cybersécurité n'est pas d'atteindre le risque zéro mais de ramener le risque brut à un niveau de risque résiduel acceptable par la direction.,Dans la méthode EBIOS Risk Manager qu'est-ce qu'un événement redouté ?,C'est la concrétisation d'une menace entraînant des conséquences inacceptables pour l'organisation.,Par exemple le vol massif de données clients ou l'indisponibilité totale du système de production pendant plusieurs jours.,Quelles sont les quatre options possibles pour traiter un risque identifié ?,L'accepter le réduire le transférer ou l'éviter.,On peut réduire le risque avec un antivirus le transférer avec une cyber-assurance l'accepter s'il est très faible ou l'éviter en arrêtant l'activité concernée.,Quelle est la particularité de la méthode d'analyse MEHARI ?,C'est une méthode développée par le CLUSIF basée sur une base de connaissances exhaustive et des scénarios de risques.,Méthode Harmonisée d'Analyse de Risques elle est reconnue pour son approche quantitative et sa cartographie détaillée des vulnérabilités.,Comment évalue-t-on typiquement le niveau critique d'un risque ?,En croisant sa probabilité d'occurrence (vraisemblance) et son impact (gravité).,On utilise souvent une matrice cartographique des risques pour visualiser facilement si un risque est tolérable majeur ou inacceptable nécessitant une action immédiate.
Cybersécurité : Gouvernance,Politique de sécurité (PSSI),"Rédaction, déclinaison opérationnelle de la PSSI, normes ISO 27000.",Que signifie l'acronyme PSSI ?,Politique de Sécurité des Systèmes d'Information.,C'est un document de référence qui définit les objectifs les règles et les procédures de sécurité applicables au sein de l'organisation.,Quel est l'objectif principal de la norme ISO 27001 ?,Définir les exigences pour mettre en place un Système de Management de la Sécurité de l'Information (SMSI).,Elle permet à une entreprise de structurer sa démarche de sécurité et peut faire l'objet d'une certification par un organisme indépendant.,Qui doit valider officiellement la PSSI au sein d'une entreprise ?,La Direction Générale.,L'engagement de la direction est indispensable pour garantir que la sécurité est une priorité stratégique et pour allouer les budgets nécessaires.,Qu'est-ce que la charte informatique par rapport à la PSSI ?,C'est une déclinaison de la PSSI destinée spécifiquement aux utilisateurs finaux.,Elle vulgarise les règles de sécurité que chaque employé doit respecter (gestion des mots de passe usage d'internet) et est souvent annexée au règlement intérieur.,Quels sont les trois piliers fondamentaux de la sécurité de l'information (triade DIC) ?,Disponibilité Intégrité Confidentialité (plus parfois la Traçabilité).,Toute politique de sécurité vise à protéger ces critères pour garantir que l'information est accessible exacte et réservée aux personnes autorisées.,Quelle est la différence entre la norme ISO 27001 et ISO 27002 ?,ISO 27001 définit les exigences du SMSI tandis que ISO 27002 est un recueil de bonnes pratiques et de mesures de sécurité.,On se certifie sur la 27001 en s'appuyant sur les contrôles de sécurité détaillés dans la 27002 pour atteindre les objectifs fixés.,Qu'est-ce qu'une directive de sécurité dans le cadre d'une PSSI ?,C'est un document thématique qui décline la PSSI sur un sujet précis comme le télétravail ou la gestion des mots de passe.,La PSSI reste générale tandis que les directives fournissent des règles plus concrètes applicables à des domaines ou des technologies spécifiques.,Que signifie l'acronyme SMSI dans la norme ISO 27000 ?,Système de Management de la Sécurité de l'Information.,C'est l'ensemble des politiques processus et outils mis en place pour gérer les risques liés à la sécurité de l'information de manière continue.,Comment s'assurer que la PSSI reste efficace dans le temps selon le modèle ISO ?,En appliquant le principe d'amélioration continue basé sur la roue de Deming (PDCA : Plan Do Check Act).,Le système d'information et les menaces évoluent constamment il faut donc régulièrement auditer et mettre à jour la politique de sécurité.,Qu'est-ce que la déclaration d'applicabilité (DdA ou SoA) dans le cadre de la norme ISO 27001 ?,C'est un document obligatoire qui justifie le choix d'appliquer ou d'exclure certaines mesures de sécurité de l'ISO 27002.,L'entreprise n'est pas obligée de mettre en œuvre tous les contrôles mais elle doit expliquer pourquoi certains ne sont pas pertinents face à ses propres risques.
Cybersécurité : Protection,Sécurité périmétrique,"Pare-feu (Firewall), Proxy, Portail captif, Bastion, WAF (Web Application Firewall).",Quel équipement de sécurité contrôle le trafic réseau entrant et sortant selon des règles définies ?,Un pare-feu (firewall).,Il analyse les paquets de données et bloque ou autorise les flux en fonction de la politique de sécurité de l'entreprise.,Quel est le rôle principal d'un serveur proxy en entreprise ?,Servir d'intermédiaire entre les utilisateurs du réseau local et Internet.,Le proxy masque les adresses IP internes filtre le contenu web et met en cache les pages pour accélérer la navigation.,Que signifie l'acronyme WAF et que protège-t-il ?,Web Application Firewall. Il protège spécifiquement les applications web.,Contrairement à un pare-feu classique le WAF analyse le trafic HTTP/HTTPS pour bloquer les attaques ciblant les sites web comme les injections SQL.,À quoi sert un portail captif sur un réseau Wi-Fi invité ?,À forcer l'utilisateur à s'authentifier ou accepter des conditions avant d'accéder à Internet.,Cela permet de tracer les connexions et de répondre aux obligations légales de conservation des logs pour les réseaux publics.,Qu'est-ce qu'un serveur bastion dans une infrastructure sécurisée ?,C'est un point d'entrée unique et très sécurisé pour administrer le système d'information.,Les administrateurs doivent s'y connecter (souvent avec MFA) avant de rebondir vers les serveurs internes ce qui permet de tracer toutes les actions d'administration.,Quelle est la différence entre un pare-feu stateless et un pare-feu stateful (à inspection d'état) ?,Le pare-feu stateful garde en mémoire l'état des connexions actives.,Si une requête sortante est autorisée le pare-feu stateful autorisera automatiquement la réponse entrante correspondante ce qui est beaucoup plus sûr et facile à gérer.,Quelle est la différence entre un proxy classique (Forward Proxy) et un Reverse Proxy ?,Le proxy classique protège les clients internes qui vont vers Internet tandis que le reverse proxy protège les serveurs internes accessibles depuis Internet.,Le reverse proxy répartit la charge (load balancing) gère le chiffrement SSL et cache la véritable adresse IP des serveurs web.,Pourquoi un pare-feu de nouvelle génération (NGFW) ou un IPS ne remplace-t-il pas complètement un WAF ?,Le WAF comprend la logique spécifique des applications web et leurs vulnérabilités.,Un IPS cherche des signatures d'attaques réseaux globales tandis qu'un WAF analyse en profondeur le comportement de l'application web et les champs de formulaires.,Comment un bastion s'intègre-t-il dans une démarche PAM (Privileged Access Management) ?,Il centralise la gestion des mots de passe à hauts privilèges et enregistre les sessions d'administration.,Le bastion peut injecter les mots de passe root ou administrateur sans jamais les révéler à l'utilisateur et il peut enregistrer l'écran en vidéo pour l'audit.,Comment un pare-feu ou un proxy réalise-t-il du filtrage d'URL sur du trafic chiffré en HTTPS ?,En utilisant l'inspection SSL/TLS qui agit comme une attaque de l'homme du milieu maîtrisée.,Le pare-feu déchiffre le trafic avec son propre certificat l'analyse puis le rechiffre avant de l'envoyer au client nécessitant le déploiement du certificat du pare-feu sur tous les postes internes.
Cybersécurité : Protection,Protection des systèmes,"Durcissement (Hardening) des OS Microsoft, Linux, Android.",Qu'est-ce que le durcissement (hardening) d'un système d'exploitation ?,C'est l'action de renforcer la sécurité d'un système en réduisant sa surface d'attaque.,Cela implique de désactiver les services inutiles de fermer les ports non utilisés et d'appliquer des configurations de sécurité strictes.,Quel est le principe de base du moindre privilège ?,Ne donner à un utilisateur ou à un processus que les droits strictement nécessaires pour accomplir sa tâche.,Cela limite les dégâts potentiels si le compte ou le processus est compromis par un attaquant.,Pourquoi est-il crucial de désactiver les comptes invités ou par défaut sur un OS ?,Car ces comptes sont bien connus des attaquants et constituent une porte d'entrée facile s'ils ne sont pas sécurisés.,Les attaquants tentent souvent de se connecter avec des identifiants standards comme admin/admin ou guest avant de chercher d'autres failles.,Sous Windows comment appelle-t-on l'outil centralisé permettant d'appliquer des règles de durcissement sur plusieurs postes ?,Les stratégies de groupe (GPO) via Active Directory.,Les GPO permettent de forcer la longueur des mots de passe de restreindre l'accès au panneau de configuration ou d'activer le pare-feu sur tout le parc informatique.,Quel outil intégré à Windows permet de chiffrer l'intégralité du disque dur ?,BitLocker.,Le chiffrement de disque empêche un attaquant de lire les données s'il vole physiquement l'ordinateur ou le disque dur.,Sous Linux à quoi sert le module de sécurité SELinux ou AppArmor ?,À appliquer un contrôle d'accès obligatoire (MAC) pour restreindre finement les actions des processus.,Même si un attaquant obtient les droits root sur un service vulnérable SELinux l'empêchera d'accéder aux fichiers non autorisés par sa politique de sécurité.,Qu'est-ce que le principe de Security by Default (Sécurité par défaut) lors de l'installation d'un OS ?,C'est le fait que l'OS soit configuré de manière sécurisée dès son installation sans nécessiter d'action supplémentaire.,Par exemple Windows Server désactive par défaut la plupart de ses rôles et services tant que l'administrateur ne les installe pas volontairement.,Comment durcir l'accès SSH sur un serveur Linux ?,En désactivant l'authentification par mot de passe l'accès direct root et en utilisant des clés cryptographiques.,Il est aussi recommandé de changer le port par défaut (22) pour limiter les attaques par force brute automatisées et d'utiliser un outil comme Fail2ban.,Sur un appareil mobile Android qu'est-ce que le sideloading et pourquoi est-ce un risque ?,C'est l'installation d'applications en dehors du Google Play Store officiel (via des fichiers APK).,Ces applications ne sont pas vérifiées par Google et peuvent contenir des malwares ou des portes dérobées (backdoors) compromettant ainsi le système.,Qu'est-ce que l'UAC (User Account Control) sous Windows et quel est son rôle dans le durcissement ?,C'est un mécanisme qui demande une confirmation explicite avant d'exécuter une action nécessitant des droits d'administrateur.,Même si l'utilisateur est administrateur ses applications tournent avec des droits standards par défaut ce qui empêche un malware de s'installer silencieusement.
Cybersécurité : Protection,Chiffrement et Flux,"Protocoles sécurisés SSH, SFTP, IPsec, TLS, SMB chiffré.",À quoi sert le protocole SSH (Secure Shell) ?,À se connecter et administrer un équipement distant de manière sécurisée et chiffrée.,SSH remplace les anciens protocoles en clair comme Telnet. Il chiffre toutes les communications empêchant ainsi l'interception des mots de passe.,Quelle est la différence principale entre FTP et SFTP ?,SFTP utilise le protocole SSH pour chiffrer les transferts de fichiers contrairement à FTP qui envoie les données en clair.,SFTP (SSH File Transfer Protocol) garantit la confidentialité et l'intégrité des fichiers transférés sur le réseau.,Que signifie le sigle TLS et quel est son rôle ?,Transport Layer Security. Il chiffre les échanges sur Internet notamment pour le trafic web HTTPS.,TLS a remplacé l'ancien protocole SSL. Il assure que les données échangées entre un navigateur et un serveur web sont illisibles pour les attaquants.,Quel protocole est utilisé pour chiffrer le trafic des réseaux privés virtuels (VPN) de site à site ?,Le protocole IPsec (Internet Protocol Security).,IPsec fonctionne au niveau de la couche réseau pour authentifier et chiffrer chaque paquet IP garantissant des échanges sécurisés entre deux sites distants.,À quoi sert le protocole SMB en environnement Windows ?,Server Message Block est utilisé pour le partage de fichiers et d'imprimantes sur un réseau local.,Les versions récentes (comme SMB 3.0) permettent de chiffrer nativement les échanges pour protéger les fichiers partagés contre les écoutes clandestines.,Comment fonctionne l'authentification par clé publique dans le protocole SSH ?,Le client possède une clé privée secrète et le serveur connaît la clé publique associée permettant une vérification cryptographique sans envoyer de mot de passe.,Cette méthode est beaucoup plus robuste contre les attaques par force brute que l'utilisation d'un simple mot de passe.,Dans le protocole TLS à quoi sert le processus de handshake (poignée de main) ?,À négocier les algorithmes de chiffrement vérifier les certificats et échanger les clés de session avant de transmettre les données.,C'est l'étape initiale indispensable où le client et le serveur s'accordent sur la manière de sécuriser leur communication.,Quelle est la différence entre les modes Transport et Tunnel dans IPsec ?,Le mode Transport ne chiffre que la charge utile du paquet IP alors que le mode Tunnel chiffre le paquet entier et ajoute un nouvel en-tête IP.,Le mode Tunnel est généralement utilisé pour les VPN entre deux passerelles (routeurs) pour masquer les adresses IP internes d'origine.,Pourquoi est-il fortement recommandé de désactiver le protocole SMBv1 sur un réseau d'entreprise ?,Car c'est une version obsolète contenant des failles de sécurité critiques très exploitées par les ransomwares (comme WannaCry).,Les administrateurs doivent forcer l'utilisation de SMBv2 ou SMBv3 qui intègrent des mécanismes de sécurité et de chiffrement modernes.,Qu'est-ce que le chiffrement symétrique par rapport au chiffrement asymétrique ?,Le chiffrement symétrique utilise la même clé pour chiffrer et déchiffrer tandis que l'asymétrique utilise une paire de clés (publique et privée).,Les protocoles comme TLS utilisent l'asymétrique pour s'authentifier et échanger secrètement une clé symétrique (plus rapide) qui servira ensuite au transfert de données.
